,index,Movie,P_Genre,S_Genre,T_Genre,CLuster_Id,Cluster_Id
165,166,resident evil: the final chapter,2,0,0,,3
166,167,thinner,6,4,4,,14
167,168,what lies beneath,2,0,0,,3
168,169,dracula untold,2,0,0,,3
169,170,insidious: chapter 2,1,3,0,,7
170,171,house on haunted hill,6,4,5,,14
171,172,i still know what you did last summer,1,3,0,,7
172,173,resident evil: retribution,2,5,0,,9
173,174,alligator,2,5,0,,9
174,175,cube,4,3,1,,0
175,176,woodland grey,4,3,1,,0
176,177,47 meters down: uncaged,4,3,1,,0
177,178,the addams family,2,0,0,,3
178,179,host,3,6,5,,8
179,181,saw ii,5,2,9,,19
180,182,leprechaun,4,3,7,,17
181,183,a nightmare on elm street part 2: freddy's revenge,1,3,6,,5
182,184,night teeth,6,2,5,,11
183,185,the twin,4,9,5,,2
184,186,"arthur, malédiction",4,9,5,,2
185,187,in the tall grass,4,9,5,,2
186,188,jeepers creepers 2,1,9,5,,13
187,189,tucker and dale vs evil,4,3,1,,0
188,190,day of the dead,0,3,1,,7
189,191,master,2,5,0,,9
